location,price,bedrooms,bathrooms,size_sqft,year_built,price_per_sqft,property_age,listing_category,listing_category_order
Rural,263954.1540627713,3,3,2332.0,1978,113.18788767700313,47.0,High-End,3.0
Suburb,148310.62016790514,4,1,1769.0,1963,83.83867731368295,62.0,Budget,1.0
Rural,151733.92248999208,2,3,1343.0,2013,112.98132724496804,12.0,Budget,1.0
Urban,307961.1073823952,2,3,2515.0,2013,122.44974448604182,12.0,High-End,3.0
Rural,276162.86180465267,2,1,2437.0,2004,113.32082962849925,21.0,High-End,3.0
Rural,243985.2054715822,5,1,1805.0,2002,135.17185898702616,23.0,Mid-Range,2.0
Rural,88030.54185271678,4,3,1385.0,1996,63.55995801640201,29.0,Budget,1.0
Urban,282908.98169371625,5,1,2215.0,1952,127.72414523418341,73.0,High-End,3.0
Rural,240976.55176671065,3,1,1955.0,2014,123.26166330778038,11.0,Mid-Range,2.0
Rural,104747.33458904953,4,1,1276.0,1965,82.09038760897299,60.0,Budget,1.0
Suburb,347207.38956128363,2,2,2184.0,1959,158.97774247311523,66.0,High-End,3.0
Rural,77493.9314389322,3,2,1459.0,2006,53.11441496842508,19.0,Budget,1.0
Suburb,331851.0816694101,3,3,2337.0,2008,141.99875124921272,17.0,High-End,3.0
Rural,110408.67080143408,4,3,1021.0,2013,108.13777747447021,12.0,Budget,1.0
Urban,127932.75677961828,2,1,1252.0,1993,102.1827130827622,32.0,Budget,1.0
Rural,228683.2269961876,5,3,1747.0,1982,130.90053062174448,43.0,Mid-Range,2.0
Rural,124711.70785494654,4,2,1856.0,1959,67.19380811150137,66.0,Budget,1.0
Suburb,415850.77083678055,2,3,2584.0,2001,160.93296085014728,24.0,High-End,3.0
Urban,184819.96119001516,3,3,1474.0,1959,125.38667651968464,66.0,Budget,1.0
Suburb,164855.98777549056,4,2,2082.0,1966,79.18155032444311,59.0,Budget,1.0
Suburb,156928.01471681413,3,2,1510.0,2002,103.92583756080406,23.0,Budget,1.0
Urban,282457.8613741379,2,1,2705.0,1971,104.42065115494933,54.0,High-End,3.0
Urban,287591.6728221959,5,1,2499.0,2021,115.08270220976227,4.0,High-End,3.0
Rural,156313.5941951282,5,1,1699.0,1960,92.00329263986356,65.0,Budget,1.0
Suburb,279764.3710402287,3,3,1975.0,2016,141.6528460963183,9.0,High-End,3.0
Suburb,366494.48060208897,3,3,2806.0,1962,130.6110052038806,63.0,High-End,3.0
Urban,244539.2816890332,3,3,1189.0,2007,205.66802496975038,18.0,Mid-Range,2.0
Rural,239299.9944944986,4,2,1957.0,1994,122.27899565380612,31.0,Mid-Range,2.0
Urban,249148.34468610145,2,3,1686.0,1994,147.77481891227845,31.0,Mid-Range,2.0
Rural,304197.5798399542,3,2,1957.0,1992,155.44076639752387,33.0,High-End,3.0
Rural,89378.55062087673,3,3,1562.0,2013,57.22058298391596,12.0,Budget,1.0
Rural,427295.4046033164,3,3,2899.0,1988,147.39406850752547,37.0,High-End,3.0
Suburb,328501.8015463275,5,2,2590.0,1957,126.83467241170945,68.0,High-End,3.0
Urban,215867.4189845816,3,2,2267.0,1989,95.22162284277971,36.0,Mid-Range,2.0
Rural,190058.8928999779,2,2,1831.0,2000,103.80059688693494,25.0,Mid-Range,2.0
Urban,259751.15444635935,5,1,2528.0,1969,102.74966552466746,56.0,High-End,3.0
Rural,166810.3886512713,2,1,2154.0,2015,77.44214886317144,10.0,Budget,1.0
Suburb,352932.1624639027,5,3,2508.0,2007,140.72255281654813,18.0,High-End,3.0
Urban,422042.91851435706,5,3,2842.0,2014,148.50208251736703,11.0,High-End,3.0
Suburb,91423.61964633202,4,3,1646.0,1994,55.54290379485542,31.0,Budget,1.0
Rural,220053.8603574218,5,1,1020.0,1983,215.73907878178608,42.0,Mid-Range,2.0
Suburb,216148.20845399628,5,3,1840.0,1961,117.47185242065015,64.0,Mid-Range,2.0
Suburb,161587.15372788318,2,2,1166.0,1972,138.5824646036734,53.0,Budget,1.0
Urban,194967.9094711132,2,2,2297.0,2017,84.87936851158607,8.0,Mid-Range,2.0
Rural,152828.720291152,3,1,1387.0,2002,110.18653229354868,23.0,Budget,1.0
Rural,256725.9809436184,4,2,1600.0,2002,160.4537380897615,23.0,Mid-Range,2.0
Suburb,98039.30310069738,5,2,1315.0,1989,74.55460311840105,36.0,Budget,1.0
Urban,164858.18694892063,4,3,1013.0,2002,162.74253400683182,23.0,Budget,1.0
Urban,199373.18209909197,3,2,1241.0,1985,160.65526357702817,40.0,Mid-Range,2.0
Urban,181245.4467436535,4,2,1776.0,2014,102.05261640971482,11.0,Budget,1.0
Suburb,209700.7184829428,5,1,2369.0,1963,88.51866546346255,62.0,Mid-Range,2.0
Rural,163053.3920501942,2,2,1564.0,1983,104.25408698861521,42.0,Budget,1.0
Rural,304004.68986597785,4,2,1897.0,1975,160.25550335581332,50.0,High-End,3.0
Urban,308830.9396512381,5,3,2363.0,2004,130.6944306607017,21.0,High-End,3.0
Urban,194294.00184175,3,3,1091.0,2012,178.0879943554079,13.0,Mid-Range,2.0
Urban,172777.3198326151,5,3,2390.0,2019,72.29176562034104,6.0,Budget,1.0
Suburb,197656.07026552537,4,1,1955.0,1995,101.10284924067794,30.0,Mid-Range,2.0
Urban,273365.49912049377,5,3,2478.0,1986,110.31698915274163,39.0,High-End,3.0
Rural,216047.21814963987,5,2,2451.0,1972,88.14655983257441,53.0,Mid-Range,2.0
Urban,149586.15312931265,4,1,1508.0,1965,99.19506175683863,60.0,Budget,1.0
Suburb,214171.08224172727,4,2,1775.0,1981,120.65976464322664,44.0,Mid-Range,2.0
Rural,277419.0001600792,3,2,2966.0,1956,93.53304118681025,69.0,High-End,3.0
Rural,117295.37520060757,5,3,1034.0,1993,113.43846731199957,32.0,Budget,1.0
Urban,180760.867453112,2,1,1205.0,1996,150.00901863328798,29.0,Budget,1.0
Suburb,202715.1601476104,4,1,2104.0,1954,96.34750957586046,71.0,Mid-Range,2.0
Rural,378403.5710107572,5,3,2955.0,2012,128.05535397995166,13.0,High-End,3.0
Suburb,257776.0924243205,2,1,2585.0,1961,99.7199583846501,64.0,Mid-Range,2.0
Suburb,266046.87792908505,2,2,2895.0,2021,91.89874885287912,4.0,High-End,3.0
Rural,337645.67623531295,5,1,2411.0,1958,140.0438308732115,67.0,High-End,3.0
Rural,240145.9702539115,5,2,2025.0,1993,118.5906025945242,32.0,Mid-Range,2.0
Suburb,92641.62211021264,5,1,2021.0,1971,45.839496343499576,54.0,Budget,1.0
Urban,152037.88283583574,2,1,2413.0,1995,63.00782546035464,30.0,Budget,1.0
Rural,149848.61640852437,5,3,1565.0,1957,95.74991463803474,68.0,Budget,1.0
Urban,220384.43445019663,4,3,2129.0,2005,103.51546944584153,20.0,Mid-Range,2.0
Rural,305658.56385268376,2,1,2795.0,1977,109.35905683459168,48.0,High-End,3.0
Urban,318297.25657762005,4,2,2845.0,1996,111.87952779529704,29.0,High-End,3.0
Rural,230749.27633657065,4,3,2500.0,1984,92.29971053462826,41.0,Mid-Range,2.0
Urban,201925.84088885225,5,3,1702.0,1970,118.64032954691672,55.0,Mid-Range,2.0
Suburb,149576.68114338422,4,3,1401.0,1982,106.76422636929638,43.0,Budget,1.0
Rural,171877.06629783398,5,1,1729.0,2019,99.40836685820358,6.0,Budget,1.0
Urban,245276.73391788083,2,2,2579.0,1997,95.10536406276884,28.0,Mid-Range,2.0
Suburb,288571.1271841178,4,2,1161.0,2003,248.55394244971387,22.0,High-End,3.0
Urban,87804.5603712397,5,1,1201.0,1951,73.10954235740192,74.0,Budget,1.0
Rural,267127.0106286388,3,2,2981.0,1982,89.60986602772184,43.0,High-End,3.0
Suburb,221217.76933158597,5,3,1995.0,1965,110.88609991558194,60.0,Mid-Range,2.0
Suburb,218784.63298580731,3,2,1269.0,1999,172.40711819212555,26.0,Mid-Range,2.0
Rural,315607.02376495936,5,3,2886.0,1969,109.35794309250151,56.0,High-End,3.0
Urban,217967.92847377845,3,3,1815.0,2016,120.09252257508454,9.0,Mid-Range,2.0
Rural,353343.63401135267,4,1,2294.0,1994,154.029483004077,31.0,High-End,3.0
Urban,187002.96390785457,3,3,1455.0,1984,128.5243738198313,41.0,Budget,1.0
Rural,222855.0832963985,4,2,2485.0,1978,89.68011400257484,47.0,Mid-Range,2.0
Rural,366548.8223262025,4,2,2750.0,1994,133.29048084589184,31.0,High-End,3.0
Rural,259473.2793370484,5,2,2275.0,1964,114.05418871958172,61.0,High-End,3.0
Urban,212440.4223945249,4,2,2016.0,1952,105.37719364807784,73.0,Mid-Range,2.0
Urban,237066.6856356926,2,2,2725.0,2018,86.9969488571349,7.0,Mid-Range,2.0
Urban,158357.6480582802,3,3,1295.0,1983,122.2838981145021,42.0,Budget,1.0
Suburb,255619.99775314287,5,1,2748.0,2020,93.02037763942609,5.0,Mid-Range,2.0
Suburb,190659.43496867083,4,1,1719.0,1953,110.91299300097198,72.0,Mid-Range,2.0
Urban,284985.43569363654,3,2,2772.0,1968,102.80859873507812,57.0,High-End,3.0
Urban,214741.228522745,3,3,1337.0,1970,160.614232253362,55.0,Mid-Range,2.0
Suburb,128693.02879404814,2,1,1878.0,1964,68.52663940045161,61.0,Budget,1.0
Rural,184051.98271688656,3,2,2076.0,1966,88.6570244300995,59.0,Budget,1.0
Rural,242865.26019000952,5,3,1791.0,2003,135.6031603517641,22.0,Mid-Range,2.0
Urban,295356.77549321775,5,1,2945.0,1986,100.29092546459007,39.0,High-End,3.0
Rural,107868.93208831896,4,3,1216.0,2003,88.7080033621044,22.0,Budget,1.0
Urban,207380.13609180792,4,2,1763.0,1971,117.62911860000449,54.0,Mid-Range,2.0
Suburb,132828.81413178446,5,3,1187.0,1957,111.90296051540392,68.0,Budget,1.0
Urban,84493.6913127725,3,1,1379.0,1960,61.27171233703589,65.0,Budget,1.0
Suburb,53360.86540604882,3,1,1492.0,2019,35.764655097887946,6.0,Budget,1.0
Rural,296199.3496255564,2,3,2064.0,1958,143.5074368340874,67.0,High-End,3.0
Urban,273924.557395998,4,1,2180.0,1951,125.65346669541192,74.0,High-End,3.0
Urban,204340.7258965054,3,3,1014.0,1981,201.51945354684952,44.0,Mid-Range,2.0
Urban,228582.09695971967,3,3,2836.0,2000,80.6001752326233,25.0,Mid-Range,2.0
Suburb,237384.3466275038,4,2,1064.0,1986,223.10558893562387,39.0,Mid-Range,2.0
Rural,312245.8679787154,5,2,2880.0,1955,108.41870415927617,70.0,High-End,3.0
Urban,219408.6249604324,3,3,2862.0,1961,76.66269215948023,64.0,Mid-Range,2.0
Rural,201334.94160447217,2,1,1520.0,2003,132.45719842399484,22.0,Mid-Range,2.0
Suburb,221413.5776081872,3,2,2367.0,1995,93.54185788263084,30.0,Mid-Range,2.0
Rural,306839.62194227794,3,1,2152.0,1982,142.58346744529644,43.0,High-End,3.0
Urban,126756.3572316613,2,3,1647.0,1967,76.96196553227766,58.0,Budget,1.0
Urban,328702.8347369156,5,1,2495.0,1987,131.74462314104832,38.0,High-End,3.0
Suburb,141074.02839361285,2,1,2086.0,2008,67.6289685491912,17.0,Budget,1.0
Rural,220712.46134879728,2,3,2162.0,1956,102.08716991156211,69.0,Mid-Range,2.0
Urban,319176.8398973249,4,2,2522.0,1964,126.55703405920893,61.0,High-End,3.0
Suburb,245299.2098929523,3,2,1592.0,1950,154.08241827446753,75.0,Mid-Range,2.0
Rural,51154.13113008726,5,1,1391.0,1995,36.77507629769034,30.0,Budget,1.0
Urban,314018.0283390546,3,3,2698.0,1981,116.38918767199948,44.0,High-End,3.0
Suburb,222904.25800629333,5,3,1418.0,1998,157.19623272658202,27.0,Mid-Range,2.0
Suburb,115697.77821526628,2,2,1288.0,1959,89.82746755843655,66.0,Budget,1.0
Suburb,140714.77037514705,4,3,1378.0,1966,102.11521797906173,59.0,Budget,1.0
Suburb,178353.14814536367,2,3,2796.0,1969,63.78867959419301,56.0,Budget,1.0
Suburb,280022.0311214733,3,1,2513.0,2000,111.42937967428304,25.0,High-End,3.0
Rural,136418.4807787985,4,1,1230.0,1971,110.90933396650284,54.0,Budget,1.0
Urban,195803.9703359068,4,2,2017.0,1969,97.07683209514468,56.0,Mid-Range,2.0
Rural,98933.439065306,3,2,1040.0,2014,95.12830679356345,11.0,Budget,1.0
Suburb,185052.5631740863,5,1,2051.0,1953,90.22553055781877,72.0,Budget,1.0
Urban,160764.43940877952,4,3,1134.0,2003,141.767583252892,22.0,Budget,1.0
Suburb,156394.27348181067,5,3,1200.0,2014,130.32856123484223,11.0,Budget,1.0
Suburb,333464.1490294491,5,1,2863.0,2000,116.47368111402344,25.0,High-End,3.0
Urban,211994.3281859909,5,1,1779.0,1960,119.16488374704379,65.0,Mid-Range,2.0
Rural,252779.69087222763,4,1,1929.0,1976,131.04183041587746,49.0,Mid-Range,2.0
Urban,288750.4043072761,2,1,2056.0,1975,140.4428036513989,50.0,High-End,3.0
Rural,185482.06063162317,4,3,2071.0,1966,89.56159373810873,59.0,Budget,1.0
Suburb,119671.3689479028,2,3,1502.0,1991,79.67467972563435,34.0,Budget,1.0
Suburb,148891.4193350198,4,2,1406.0,1997,105.89716880157881,28.0,Budget,1.0
Rural,235810.22355681533,2,1,2597.0,1982,90.80101022595892,43.0,Mid-Range,2.0
Suburb,357765.11724448414,2,2,2751.0,2010,130.04911568320034,15.0,High-End,3.0
Rural,216771.35995628755,4,3,1804.0,1978,120.1615077363013,47.0,Mid-Range,2.0
Rural,102580.49836622812,5,2,1098.0,2012,93.4248619000256,13.0,Budget,1.0
Urban,208774.14233121456,5,3,1683.0,1986,124.04880708925405,39.0,Mid-Range,2.0
Suburb,302454.6401474587,2,3,2895.0,2005,104.47483252071112,20.0,High-End,3.0
Urban,208558.78172335384,3,2,1725.0,1965,120.90364157875585,60.0,Mid-Range,2.0
Urban,276434.5399454463,3,2,2570.0,2005,107.56207779978456,20.0,High-End,3.0
Suburb,220786.7119550845,4,1,1960.0,1991,112.64628160973699,34.0,Mid-Range,2.0
Urban,354268.47524739604,4,3,2762.0,1973,128.26519741035338,52.0,High-End,3.0
Suburb,142420.97226095255,4,1,1612.0,2018,88.35047907006982,7.0,Budget,1.0
Suburb,299146.59537507093,3,1,2966.0,1980,100.85859587831116,45.0,High-End,3.0
Urban,321647.4526525699,5,3,2485.0,1960,129.43559462880077,65.0,High-End,3.0
Suburb,216976.90806023663,4,2,1642.0,1951,132.14184412925496,74.0,Mid-Range,2.0
Suburb,243179.70337319985,4,1,2792.0,2020,87.09874762650425,5.0,Mid-Range,2.0
Suburb,184210.77355558556,5,1,2028.0,1984,90.8337147709988,41.0,Budget,1.0
Suburb,175779.56815188617,2,3,2241.0,2011,78.43800453006969,14.0,Budget,1.0
Urban,162271.08640489963,4,2,1502.0,2003,108.0366753694405,22.0,Budget,1.0
Rural,240727.03972085557,3,2,1766.0,2018,136.312027022002,7.0,Mid-Range,2.0
Urban,186900.94639311853,3,1,1397.0,2000,133.78736320194596,25.0,Budget,1.0
Rural,208692.1497994106,4,3,1870.0,1958,111.60008010663668,67.0,Mid-Range,2.0
Rural,114333.69387419586,3,1,1794.0,1963,63.73115600568331,62.0,Budget,1.0
Rural,225281.32417764855,5,2,1392.0,2005,161.84003173681648,20.0,Mid-Range,2.0
Suburb,110852.45257182162,2,1,1206.0,1983,91.91745652721526,42.0,Budget,1.0
Rural,206119.18171087175,2,3,2038.0,1950,101.13796943614905,75.0,Mid-Range,2.0
Suburb,292218.3734233528,4,1,2881.0,1987,101.4294944197684,38.0,High-End,3.0
Suburb,209166.2973385366,4,2,2577.0,1966,81.16658802426721,59.0,Mid-Range,2.0
Suburb,283220.10867648444,2,3,1891.0,1965,149.7726645565756,60.0,High-End,3.0
Urban,354538.82144245284,2,3,2484.0,1997,142.72899413947377,28.0,High-End,3.0
Rural,290954.49181524914,4,3,2714.0,1999,107.20504488402695,26.0,High-End,3.0
Urban,207377.55545532453,3,3,2598.0,2020,79.82199979034816,5.0,Mid-Range,2.0
Suburb,267934.0925699399,4,3,1863.0,1990,143.8186218840257,35.0,High-End,3.0
Urban,235034.89983819608,5,1,1742.0,1993,134.9224453720988,32.0,Mid-Range,2.0
Suburb,246611.88309182983,4,3,2264.0,1964,108.92751019957149,61.0,Mid-Range,2.0
Urban,314867.65157339314,4,2,1563.0,2010,201.45083274049466,15.0,High-End,3.0
Suburb,278092.75713699666,4,3,2020.0,1999,137.66968175098845,26.0,High-End,3.0
Suburb,88443.38397499491,4,2,1095.0,2001,80.77021367579444,24.0,Budget,1.0
Urban,235396.4544878884,4,2,2923.0,2001,80.53248528494301,24.0,Mid-Range,2.0
Suburb,280503.8129283642,4,2,2757.0,1985,101.74240584996888,40.0,High-End,3.0
Rural,273072.3372618648,3,2,1484.0,1982,184.01100893656658,43.0,High-End,3.0
Urban,252666.84831969367,4,2,2430.0,1994,103.97812688053237,31.0,Mid-Range,2.0
Urban,133914.40680878342,2,1,1230.0,1951,108.87350147055562,74.0,Budget,1.0
Suburb,142717.8302268369,4,2,1748.0,1950,81.64635596500968,75.0,Budget,1.0
Urban,266197.0443802551,3,2,2678.0,2019,99.4014355415441,6.0,High-End,3.0
Rural,245433.69445927496,5,2,2194.0,1996,111.86585891489287,29.0,Mid-Range,2.0
Urban,177796.40298151918,2,1,1540.0,2013,115.4522097282592,12.0,Budget,1.0
Rural,226582.27427106167,4,3,2059.0,1967,110.04481509036506,58.0,Mid-Range,2.0
Urban,170745.4653213651,4,2,1524.0,2003,112.03770690378288,22.0,Budget,1.0
Rural,194059.37069774355,2,1,2183.0,1984,88.89572638467409,41.0,Mid-Range,2.0
Urban,347187.40927735553,4,1,2862.0,2008,121.30936732262597,17.0,High-End,3.0
Rural,345978.9788809702,3,1,2722.0,1985,127.10469466604343,40.0,High-End,3.0
Suburb,323981.5079872238,4,3,2266.0,1975,142.9750697207519,50.0,High-End,3.0
Urban,185909.90163690777,5,1,2109.0,1994,88.15073572162531,31.0,Budget,1.0
Urban,231642.41525201904,3,2,2819.0,2018,82.17183939411814,7.0,Mid-Range,2.0
Rural,181472.0115124785,4,2,1577.0,1979,115.07419880309352,46.0,Budget,1.0
Urban,247683.3818141536,5,2,1681.0,1982,147.34288031775944,43.0,Mid-Range,2.0
Rural,174119.77971258396,2,3,1556.0,1972,111.90217205178918,53.0,Budget,1.0
Suburb,249931.38186463085,3,1,2597.0,1970,96.23849898522559,55.0,Mid-Range,2.0
Rural,352084.04725339817,4,2,2976.0,2012,118.30781157708272,13.0,High-End,3.0
Urban,356256.91027704417,4,2,2012.0,2019,177.06605878580723,6.0,High-End,3.0
Suburb,115738.60239613194,2,2,1645.0,2017,70.35781300676715,8.0,Budget,1.0
Rural,265399.2764300769,2,3,1795.0,1985,147.8547501003214,40.0,High-End,3.0
Rural,205543.4524987724,3,2,2051.0,1986,100.21621282241463,39.0,Mid-Range,2.0
Suburb,248155.87168453963,3,1,2643.0,1950,93.89174108382127,75.0,Mid-Range,2.0
Urban,318796.39679075696,3,1,2579.0,1975,123.61240666566769,50.0,High-End,3.0
Urban,254479.2559878204,4,3,2363.0,1991,107.69329495887447,34.0,Mid-Range,2.0
Urban,248782.21694158544,4,3,2821.0,1989,88.18937147876123,36.0,Mid-Range,2.0
Suburb,320922.1761831169,3,3,2981.0,2002,107.655879296584,23.0,High-End,3.0
Rural,265274.0039736152,4,1,2354.0,2011,112.69074085540151,14.0,High-End,3.0
Suburb,283301.9362070697,2,3,2663.0,1993,106.38450477171224,32.0,High-End,3.0
Rural,291195.67134809634,5,3,2529.0,1985,115.14261421435205,40.0,High-End,3.0
Suburb,240277.00975870187,4,1,2371.0,1953,101.33994506904338,72.0,Mid-Range,2.0
Rural,316708.5953854667,3,2,2496.0,1970,126.88645648456198,55.0,High-End,3.0
Rural,267724.6993464473,4,3,2254.0,1966,118.77759509602808,59.0,High-End,3.0
Suburb,52033.75929268488,2,2,1189.0,1965,43.76262345894439,60.0,Budget,1.0
Suburb,157260.98352993536,3,2,2248.0,1990,69.95595352755132,35.0,Budget,1.0
Suburb,349887.387165537,5,2,2408.0,2004,145.30207108203362,21.0,High-End,3.0
Rural,302581.5244158059,3,2,2400.0,2006,126.07563517325245,19.0,High-End,3.0
Suburb,267740.4346651604,3,3,2306.0,2015,116.10599942114503,10.0,High-End,3.0
Rural,296942.7544003423,3,3,2981.0,1987,99.61179282131576,38.0,High-End,3.0
Rural,211665.6221785599,4,3,1632.0,2005,129.69707241333327,20.0,Mid-Range,2.0
Suburb,240462.67775685625,5,1,1627.0,1986,147.79513076635294,39.0,Mid-Range,2.0
Urban,221900.77310879892,2,1,1972.0,1999,112.52574701257552,26.0,Mid-Range,2.0
Urban,337510.5084427254,4,2,2768.0,2004,121.9329871541638,21.0,High-End,3.0
Rural,351438.5468115283,5,1,2282.0,1950,154.00462174037173,75.0,High-End,3.0
Rural,207718.7411877128,5,2,2382.0,2014,87.20350175806583,11.0,Mid-Range,2.0
Urban,187379.39012426996,4,2,1709.0,2014,109.64270925937389,11.0,Budget,1.0
Rural,325104.8263530242,3,3,2479.0,1993,131.14353624567335,32.0,High-End,3.0
Urban,234064.51365009736,5,3,2434.0,1961,96.16454956865134,64.0,Mid-Range,2.0
Rural,168976.49535597963,2,1,1648.0,2002,102.53428116260899,23.0,Budget,1.0
Rural,72491.39025921248,4,3,1317.0,2010,55.042817205172724,15.0,Budget,1.0
Suburb,397825.33643637935,5,1,2700.0,1962,147.34271719865902,63.0,High-End,3.0
Urban,224680.0524200836,2,3,2248.0,1991,99.94664253562438,34.0,Mid-Range,2.0
Rural,297609.7185248232,2,3,2842.0,1995,104.71840905166192,30.0,High-End,3.0
Urban,211357.56307458412,2,1,2257.0,1991,93.64535359972713,34.0,Mid-Range,2.0
Suburb,191156.38414084716,2,2,1683.0,1965,113.58073923995673,60.0,Mid-Range,2.0
Urban,198444.2855472129,4,1,1663.0,1993,119.3290953380715,32.0,Mid-Range,2.0
Rural,227602.84522047613,2,3,2998.0,2019,75.91822722497535,6.0,Mid-Range,2.0
Urban,227374.5843014784,4,2,2850.0,1965,79.78055589525557,60.0,Mid-Range,2.0
Suburb,311492.246607957,2,3,2397.0,1971,129.95087467999875,54.0,High-End,3.0
Urban,341035.6518169741,2,3,2695.0,1984,126.54384111947091,41.0,High-End,3.0
Urban,329215.4127322002,4,3,2631.0,1998,125.12938530300272,27.0,High-End,3.0
Urban,189722.8949577994,3,2,2495.0,2020,76.04124046404786,5.0,Mid-Range,2.0
Urban,315304.2483174342,5,3,2256.0,2013,139.7625214173024,12.0,High-End,3.0
Rural,229019.4794959325,5,1,2715.0,1980,84.35339944601566,45.0,Mid-Range,2.0
Urban,218041.2170573715,4,1,2136.0,1950,102.07922146880689,75.0,Mid-Range,2.0
Suburb,256367.864328076,2,1,2853.0,1974,89.8590481346218,51.0,Mid-Range,2.0
Urban,427589.0870411169,4,2,2520.0,1969,169.67820914330036,56.0,High-End,3.0
Suburb,161116.81865195103,2,1,1441.0,1957,111.80903445659337,68.0,Budget,1.0
Suburb,182494.88596722667,4,3,1563.0,2013,116.75936402253785,12.0,Budget,1.0
Suburb,276165.905109651,5,2,2291.0,1965,120.54382588810606,60.0,High-End,3.0
Suburb,314516.6129790323,4,3,2533.0,2004,124.16763244336055,21.0,High-End,3.0
Rural,272012.265169515,5,3,2830.0,1975,96.11740818710777,50.0,High-End,3.0
Urban,342249.54232187086,5,3,2409.0,2014,142.0712089339439,11.0,High-End,3.0
Urban,258023.51102204097,5,1,2410.0,1977,107.06369751951908,48.0,Mid-Range,2.0
Rural,115459.88197304336,4,1,2136.0,1995,54.054251860039024,30.0,Budget,1.0
Urban,240419.9739043436,3,2,2636.0,2003,91.20636339315008,22.0,Mid-Range,2.0
Rural,388951.7892392383,4,2,2648.0,2003,146.8851167821897,22.0,High-End,3.0
Suburb,250119.2128528494,4,1,1951.0,2021,128.20051914548918,4.0,Mid-Range,2.0
Urban,210586.97653456448,3,1,2104.0,1998,100.08886717422267,27.0,Mid-Range,2.0
Suburb,234243.624414166,3,3,1698.0,1995,137.95266455486808,30.0,Mid-Range,2.0
Urban,69293.96649206044,5,1,1112.0,1950,62.31471806839968,75.0,Budget,1.0
Urban,163837.68243703258,2,3,1001.0,1993,163.67400842860397,32.0,Budget,1.0
Urban,252127.9862511156,2,1,1641.0,1953,153.64289229196564,72.0,Mid-Range,2.0
Suburb,117989.35682972187,5,3,1219.0,1980,96.7919252089597,45.0,Budget,1.0
Rural,313948.4453118486,4,1,2589.0,1964,121.26243542365724,61.0,High-End,3.0
Suburb,254919.27518581905,2,1,1854.0,1950,137.4969121822109,75.0,Mid-Range,2.0
Rural,197521.82717092487,4,2,2759.0,2021,71.59181847442004,4.0,Mid-Range,2.0
Urban,198494.040257516,3,2,2248.0,1955,88.29806061277402,70.0,Mid-Range,2.0
Urban,152204.7558913935,3,3,1384.0,1976,109.97453460360802,49.0,Budget,1.0
Urban,308529.3077393932,5,2,2426.0,1975,127.17613674336076,50.0,High-End,3.0
Urban,308854.90099919715,4,2,2661.0,2015,116.06723074002147,10.0,High-End,3.0
Suburb,246860.55002366885,5,1,2153.0,1962,114.65887135330648,63.0,Mid-Range,2.0
Rural,225867.2386279585,2,3,2076.0,2020,108.79924789400698,5.0,Mid-Range,2.0
Rural,249678.22890096117,2,2,2707.0,1983,92.23429216880723,42.0,Mid-Range,2.0
Rural,108636.47522678511,2,2,1729.0,1982,62.83196947760851,43.0,Budget,1.0
Urban,299818.56075223465,4,1,2695.0,1989,111.24992977819468,36.0,High-End,3.0
Suburb,290094.597001723,5,1,2733.0,1992,106.1451141608939,33.0,High-End,3.0
Urban,272077.872708492,5,1,2439.0,1956,111.55304334091512,69.0,High-End,3.0
Rural,130941.48294297824,2,3,1246.0,1988,105.08947266691672,37.0,Budget,1.0
