ShipmentID,Origin,Destination,Pickup_Date,Delivery_Date,Delivery_Status,Distance_KM,Shipment_Mode,Weight_KG,Cost_USD,Customer_Segment,Delay_Reason,Delivery_Time_Days
SHP100026,Denver,San Diego,2024-11-10,2024-11-12 21:36:00,Delivered,1731.6,Ground,6.23,2217.46,Retail,Operational,2.9
SHP100027,Seattle,Detroit,2024-03-09,2024-03-14 19:12:00,Delivered,2170.3,Ground,13.81,3581.98,Business,Operational,5.8
SHP100028,Baltimore,Chicago,2024-06-09,2024-06-16 14:24:00,In Transit,2168.55,Freight,17.52,6915.94,Business,Operational,7.6
SHP100029,Dallas,Atlanta,2025-09-05,2025-09-09 02:24:00,Delivered,2175.4,Ground,10.36,3149.97,Business,Operational,4.1
SHP100030,Philadelphia,Atlanta,2024-05-24,2024-05-30 16:48:00,Delivered,2755.6,Ground,29.96,6568.33,Business,Operational,6.7
SHP100031,Baltimore,Detroit,2025-07-22,2025-07-29 04:48:00,Delivered,2761.9,Freight,15.32,5745.86,Business,Operational,7.2
SHP100032,Denver,Baltimore,2025-08-17,2025-08-21 04:48:00,Delivered,1805.1,Air,25.69,6060.47,Government,Operational,4.2
SHP100033,Los Angeles,Detroit,2025-01-19,2025-01-26 21:36:00,Delivered,4216.1,Ground,42.27,11867.01,Business,Operational,7.9
SHP100034,Detroit,Los Angeles,2024-09-25,2024-10-04 07:12:00,Delivered,4310.2,Freight,51.87,17789.26,Retail,Operational,9.3
SHP100035,Seattle,Boston,2025-03-29,2025-04-02 07:12:00,In Transit,2702.0,Ground,14.06,4496.56,Business,Operational,4.3
SHP100036,San Francisco,Dallas,2025-06-01,2025-06-03 12:00:00,Delivered,508.3,Ground,18.97,982.04,Business,Operational,2.5
SHP100037,Miami,Houston,2024-12-15,2024-12-21 21:36:00,Delivered,2311.8,Ground,21.78,5222.35,Retail,Weather,6.9
SHP100038,Detroit,Boston,2024-04-19,2024-04-21 07:12:00,Delivered,993.0,Ground,14.42,1675.44,Business,Operational,2.3
SHP100039,Chicago,Houston,2025-04-27,2025-05-04 00:00:00,In Transit,2277.8,Freight,7.77,3841.26,Retail,Customs,7.0
SHP100040,Philadelphia,Denver,2025-02-10,2025-02-12 16:48:00,Delivered,1010.5,Air,35.48,4639.18,Retail,Operational,2.7
SHP100041,Charlotte,Miami,2024-02-20,2024-02-27 02:24:00,Delayed,3226.6,Air,7.78,6566.45,Business,Weather,7.1
SHP100042,Dallas,Chicago,2025-02-06,2025-02-07 14:24:00,Delivered,545.8,Ground,37.87,1617.67,Retail,Operational,1.6
SHP100043,Baltimore,San Diego,2025-07-16,2025-07-25 04:48:00,Delivered,4299.2,Ground,24.37,9269.43,Business,Operational,9.2
SHP100044,Miami,Philadelphia,2025-04-20,2025-04-21 21:36:00,Delivered,1040.1,Air,21.2,3725.02,Retail,Operational,1.9
SHP100045,Dallas,Denver,2024-03-27,2024-03-31 14:24:00,In Transit,3040.8,Air,9.81,7582.57,Retail,Operational,4.6
SHP100046,Los Angeles,Phoenix,2024-03-08,2024-03-14 00:00:00,Delivered,4142.9,Air,2.96,6257.41,Retail,Operational,6.0
SHP100047,Memphis,Chicago,2025-08-18,2025-08-21 07:12:00,Delivered,1265.9,Freight,34.88,3904.28,Business,Operational,3.3
SHP100048,Houston,Atlanta,2024-02-11,2024-02-18 14:24:00,Delivered,4217.5,Ground,9.7,5906.67,Business,Operational,7.6
SHP100049,Dallas,Houston,2024-02-26,2024-03-01 00:00:00,Delivered,1871.3,Ground,25.44,4564.75,Retail,Operational,4.0
SHP100050,Baltimore,Boston,2024-07-14,2024-07-21 14:24:00,Delivered,4330.3,Air,26.4,14711.31,Government,Operational,7.6
SHP100051,San Francisco,Dallas,2024-03-02,2024-03-09 12:00:00,Delivered,4376.9,Ground,17.73,7684.97,Government,Operational,7.5
SHP100052,Los Angeles,Boston,2024-09-19,2024-09-21 09:36:00,Delivered,1008.7,Air,21.38,3283.4,Business,Operational,2.4
SHP100053,Houston,San Francisco,2024-04-21,2024-04-29 19:12:00,Delivered,3773.7,Air,24.12,14321.27,Retail,Customs,8.8
SHP100054,Dallas,Atlanta,2024-06-26,2024-06-29 21:36:00,Delayed,1031.7,Freight,20.14,2320.27,Government,Operational,3.9
SHP100055,Philadelphia,Houston,2024-01-26,2024-01-30 12:00:00,In Transit,1173.7,Freight,8.91,1910.66,Business,Operational,4.5
SHP100056,San Diego,Denver,2025-02-13,2025-02-14 02:24:00,Delivered,561.7,Air,4.64,1028.59,Retail,Operational,1.1
SHP100057,Detroit,Seattle,2025-06-14,2025-06-15 21:36:00,Delivered,873.1,Air,10.44,2046.34,Business,Operational,1.9
SHP100058,Miami,Los Angeles,2024-11-12,2024-11-16 19:12:00,Delivered,2918.5,Air,13.16,7532.73,Business,Operational,4.8
SHP100059,Philadelphia,Seattle,2025-06-15,2025-06-20 14:24:00,Delivered,2131.8,Ground,17.39,6114.09,Business,Weather,5.6
SHP100060,Miami,Miami,2024-04-15,2024-04-15 07:12:00,Delivered,12.2,Air,6.47,44.53,Retail,Operational,0.3
SHP100061,San Diego,Seattle,2025-04-08,2025-04-10 21:36:00,Delivered,1627.6,Air,48.0,8640.44,Retail,Operational,2.9
SHP100062,Boston,Philadelphia,2024-09-02,2024-09-07 16:48:00,Delivered,4365.1,Air,58.42,25461.42,Retail,Operational,5.7
SHP100063,Baltimore,Atlanta,2024-03-21,2024-03-25 16:48:00,In Transit,414.5,Ground,10.74,622.13,Business,Customs,4.7
SHP100064,Detroit,Baltimore,2025-01-30,2025-01-31 12:00:00,Delayed,470.6,Ground,57.07,1541.0,Business,Operational,1.5
SHP100065,Boston,San Francisco,2025-06-05,2025-06-11 14:24:00,In Transit,3215.9,Ground,15.84,6250.45,Retail,Operational,6.6
SHP100066,Denver,Charlotte,2024-09-20,2024-09-28 16:48:00,Delivered,4016.4,Ground,13.94,7354.78,Retail,Weather,8.7
SHP100067,Detroit,Boston,2024-09-30,2024-10-08 14:24:00,Delivered,3620.7,Freight,43.8,13758.38,Retail,Operational,8.6
SHP100068,Boston,Los Angeles,2024-06-20,2024-06-25 09:36:00,Delivered,2306.2,Freight,20.69,5534.56,Business,Operational,5.4
SHP100069,New York,Boston,2024-09-21,2024-09-23 09:36:00,Delayed,1359.5,Air,18.53,4559.63,Retail,Weather,2.4
SHP100070,Seattle,Seattle,2024-01-26,2024-01-29 04:48:00,In Transit,9.7,Air,10.32,41.23,Government,Customs,3.2
SHP100071,Denver,Houston,2025-04-13,2025-04-17 02:24:00,Delivered,2390.6,Ground,11.08,3940.18,Retail,Operational,4.1
SHP100072,New York,Memphis,2025-04-20,2025-04-26 16:48:00,In Transit,2245.2,Air,19.02,7614.76,Retail,Customs,6.7
SHP100073,San Francisco,Chicago,2024-12-21,2024-12-25 04:48:00,Delivered,1680.3,Ground,43.79,4573.88,Government,Operational,4.2
SHP100074,Miami,Chicago,2024-01-26,2024-01-31 04:48:00,Delivered,2685.7,Ground,6.5,3485.08,Retail,Operational,5.2
SHP100075,Phoenix,Baltimore,2024-02-03,2024-02-09 14:24:00,Delivered,3333.9,Ground,16.48,6601.28,Retail,Operational,6.6
SHP100076,Charlotte,Phoenix,2024-09-20,2024-09-24 09:36:00,Delivered,3213.8,Air,5.4,6167.43,Retail,Operational,4.4
SHP100077,Miami,Atlanta,2024-05-17,2024-05-19 07:12:00,Delivered,1332.0,Ground,9.88,1885.37,Business,Operational,2.3
SHP100078,Chicago,Detroit,2025-07-19,2025-07-25 07:12:00,Delivered,2716.8,Freight,28.07,8322.01,Retail,Operational,6.3
SHP100079,Chicago,San Diego,2025-04-06,2025-04-07 14:24:00,Delivered,839.7,Air,8.39,1967.21,Retail,Operational,1.6
SHP100080,New York,Denver,2024-06-16,2024-06-17 19:12:00,Delivered,722.9,Ground,36.6,1909.19,Business,Operational,1.8
SHP100081,Atlanta,Dallas,2025-09-22,2025-09-27 02:24:00,Delivered,3579.2,Air,8.36,8303.91,Retail,Operational,5.1
SHP100082,Houston,Detroit,2024-03-21,2024-03-26 00:00:00,Delivered,3183.1,Air,11.36,8481.02,Retail,Operational,5.0
SHP100083,Seattle,San Francisco,2025-02-10,2025-02-16 14:24:00,Delivered,3502.1,Ground,3.28,3112.9,Business,Operational,6.6
SHP100084,Denver,Chicago,2025-07-27,2025-07-28 21:36:00,Delivered,855.6,Air,36.64,3991.55,Retail,Operational,1.9
SHP100085,Seattle,Philadelphia,2024-02-15,2024-02-21 14:24:00,Delivered,4132.9,Air,33.1,16528.21,Business,Operational,6.6
SHP100086,Denver,Charlotte,2025-08-21,2025-08-23 14:24:00,Delivered,772.4,Air,5.54,1514.24,Retail,Operational,2.6
SHP100087,Miami,Memphis,2025-09-02,2025-09-10 09:36:00,In Transit,3941.2,Ground,14.01,6540.69,Business,Operational,8.4
SHP100088,San Francisco,Dallas,2024-02-22,2024-02-24 14:24:00,Delivered,1715.2,Ground,13.1,2622.77,Government,Operational,2.6
SHP100089,Los Angeles,Seattle,2025-04-20,2025-04-21 16:48:00,Delivered,653.4,Air,12.23,1819.36,Retail,Operational,1.7
SHP100090,New York,Charlotte,2025-08-14,2025-08-18 04:48:00,Delivered,1433.1,Ground,58.7,5244.26,Retail,Operational,4.2
SHP100091,San Diego,San Diego,2024-01-16,2024-01-16 14:24:00,Delayed,14.8,Air,12.1,55.38,Government,Operational,0.6
SHP100092,Atlanta,Detroit,2024-12-25,2024-12-31 16:48:00,In Transit,2309.9,Ground,8.76,3098.18,Business,Customs,6.7
SHP100093,Chicago,Miami,2025-05-01,2025-05-09 12:00:00,Delivered,4283.9,Ground,3.64,4373.81,Retail,Operational,8.5
SHP100094,San Francisco,Miami,2025-05-16,2025-05-20 00:00:00,Delivered,1609.8,Ground,9.13,2209.15,Business,Operational,4.0
SHP100095,Miami,Baltimore,2024-05-20,2024-05-28 12:00:00,Delayed,2832.0,Freight,43.69,10748.59,Retail,Weather,8.5
SHP100096,Chicago,San Diego,2025-09-11,2025-09-21 19:12:00,Delivered,4034.4,Freight,20.52,10632.5,Retail,Weather,10.8
SHP100097,New York,Houston,2025-03-22,2025-03-26 12:00:00,Delivered,2909.3,Air,20.55,8776.78,Government,Operational,4.5
SHP100098,Chicago,Charlotte,2024-10-16,2024-10-20 21:36:00,Delivered,1757.5,Freight,9.59,3259.44,Retail,Operational,4.9
SHP100099,Atlanta,Boston,2024-07-27,2024-08-01 21:36:00,Delivered,4460.6,Air,39.21,19375.77,Business,Operational,5.9
SHP100100,Detroit,Boston,2025-04-19,2025-04-22 02:24:00,Delivered,1005.9,Freight,25.74,2685.07,Business,Operational,3.1
SHP100101,Philadelphia,Seattle,2025-02-16,2025-02-20 04:48:00,Delivered,2450.0,Air,12.37,6796.33,Retail,Operational,4.2
SHP100102,Chicago,Houston,2025-03-02,2025-03-11 00:00:00,Delivered,3625.8,Ground,7.7,4451.715,Retail,Customs,9.0
SHP100103,New York,Los Angeles,2025-01-05,2025-01-05 07:12:00,Delivered,202.8,Air,16.51,605.44,Business,Operational,0.3
SHP100104,Atlanta,Dallas,2024-10-16,2024-10-25 14:24:00,Delivered,3218.8,Air,8.25,6719.07,Business,Customs,9.6
SHP100105,Philadelphia,Memphis,2025-03-07,2025-03-09 14:24:00,Delivered,1345.9,Ground,15.09,2561.18,Retail,Operational,2.6
SHP100106,Seattle,Baltimore,2024-09-24,2024-09-27 21:36:00,Delivered,929.8,Freight,19.18,2160.92,Business,Operational,3.9
SHP100107,Denver,Memphis,2024-05-30,2024-06-02 04:48:00,Delivered,1379.0,Ground,9.95,2173.88,Retail,Operational,3.2
SHP100108,Detroit,Charlotte,2024-09-11,2024-09-20 21:36:00,In Transit,4357.3,Ground,1.85,3486.87,Retail,Weather,9.9
SHP100109,Detroit,Philadelphia,2024-12-18,2024-12-24 16:48:00,Delivered,4035.3,Ground,23.62,9476.27,Retail,Operational,6.7
SHP100110,Houston,Phoenix,2025-01-11,2025-01-14 16:48:00,Delayed,1119.1,Air,10.19,2581.78,Business,Operational,3.7
SHP100111,Boston,Los Angeles,2024-12-23,2024-12-24 02:24:00,Delivered,703.2,Air,19.06,2178.45,Business,Operational,1.1
SHP100112,Seattle,Chicago,2025-08-30,2025-09-01 21:36:00,Delivered,1765.9,Air,15.59,5462.27,Retail,Operational,2.9
SHP100113,Charlotte,Phoenix,2025-01-04,2025-01-08 19:12:00,In Transit,2747.0,Ground,52.19,8130.61,Government,Operational,4.8
SHP100114,Dallas,Memphis,2024-08-14,2024-08-20 02:24:00,Delivered,3928.7,Air,17.58,11603.75,Business,Operational,6.1
SHP100115,Atlanta,Philadelphia,2024-10-29,2024-11-05 00:00:00,Delayed,4354.2,Air,32.88,17357.86,Business,Operational,7.0
SHP100116,Seattle,San Diego,2025-01-23,2025-01-28 07:12:00,Delivered,3430.0,Air,12.88,8762.02,Business,Operational,5.3
SHP100117,Boston,Seattle,2025-01-11,2025-01-16 00:00:00,In Transit,2775.7,Air,8.37,6448.53,Retail,Operational,5.0
SHP100118,Detroit,Miami,2024-04-27,2024-04-29 02:24:00,Delivered,812.0,Freight,24.36,2337.47,Retail,Operational,2.1
SHP100119,Phoenix,San Diego,2024-01-05,2024-01-06 00:00:00,Delivered,518.3,Air,9.61,1178.34,Business,Operational,1.0
SHP100120,Dallas,Seattle,2025-03-19,2025-03-26 02:24:00,In Transit,2762.9,Ground,28.97,6478.91,Business,Weather,7.1
SHP100121,Boston,Denver,2024-12-17,2024-12-23 12:00:00,Delivered,2518.0,Ground,6.11,3188.09,Retail,Operational,6.5
SHP100122,Seattle,Boston,2025-06-16,2025-06-23 12:00:00,In Transit,3838.2,Ground,22.14,7902.3,Business,Operational,7.5
SHP100123,Los Angeles,New York,2024-05-03,2024-05-05 19:12:00,Delivered,1587.2,Air,17.23,5146.68,Retail,Operational,2.8
SHP100124,Houston,Miami,2024-10-03,2024-10-04 19:12:00,Delivered,370.7,Air,45.68,1940.82,Retail,Operational,1.8
SHP100125,Boston,Dallas,2025-01-28,2025-01-31 04:48:00,Delivered,2021.9,Air,23.76,7624.93,Retail,Operational,3.2
SHP100126,Memphis,Chicago,2024-12-25,2025-01-02 00:00:00,Delivered,4367.5,Ground,15.78,8465.15,Retail,Operational,8.0
SHP100127,San Francisco,Chicago,2025-09-14,2025-09-20 09:36:00,Delivered,3621.0,Air,30.52,15390.57,Retail,Operational,6.4
SHP100128,San Francisco,Boston,2025-04-13,2025-04-14 16:48:00,Delivered,345.2,Ground,1.82,246.57,Government,Operational,1.7
SHP100129,Phoenix,Miami,2025-09-19,2025-09-26 21:36:00,In Transit,3961.1,Ground,25.89,8799.4,Business,Operational,7.9
SHP100130,Seattle,Seattle,2024-02-26,2024-02-27 19:12:00,Delivered,11.7,Ground,27.51,33.37,Business,Weather,1.8
SHP100131,New York,New York,2024-09-07,2024-09-10 21:36:00,Delivered,23.2,Ground,29.71,72.39,Retail,Customs,3.9
SHP100132,New York,San Diego,2024-05-29,2024-05-31 09:36:00,Delivered,1691.0,Ground,28.26,3924.99,Business,Operational,2.4
SHP100133,Boston,Memphis,2025-03-27,2025-04-01 09:36:00,Delivered,2759.1,Ground,25.14,5728.57,Government,Operational,5.4
SHP100134,Denver,Seattle,2024-06-10,2024-06-14 04:48:00,Delivered,2481.6,Air,13.35,6456.23,Business,Operational,4.2
SHP100135,Chicago,San Francisco,2024-04-29,2024-05-08 21:36:00,Delayed,3023.5,Ground,19.49,5551.6,Government,Customs,9.9
SHP100136,Seattle,Denver,2025-08-04,2025-08-09 02:24:00,Delivered,2666.7,Ground,10.67,4320.98,Retail,Operational,5.1
SHP100137,Memphis,Phoenix,2024-12-16,2024-12-18 02:24:00,In Transit,819.0,Ground,8.9,1233.92,Retail,Operational,2.1
SHP100138,Miami,Houston,2024-04-08,2024-04-09 19:12:00,Delivered,1306.1,Air,13.78,3455.22,Business,Operational,1.8
SHP100139,Denver,New York,2024-06-15,2024-06-23 02:24:00,Delivered,3816.4,Ground,15.14,6219.83,Government,Weather,8.1
SHP100140,Atlanta,Baltimore,2025-05-28,2025-06-01 09:36:00,Delivered,3052.0,Air,22.92,10229.28,Business,Operational,4.4
SHP100141,New York,Dallas,2025-02-04,2025-02-08 04:48:00,Delivered,2128.1,Air,41.03,9453.17,Business,Operational,4.2
SHP100142,Houston,Atlanta,2024-12-30,2024-12-31 16:48:00,Delivered,985.2,Air,32.46,4451.715,Business,Operational,1.7
SHP100143,San Francisco,Denver,2025-07-30,2025-07-31 09:36:00,Delivered,2168.55,Air,21.64,741.88,Government,Operational,1.4
SHP100144,Detroit,Charlotte,2024-11-21,2024-11-25 02:24:00,Delivered,1541.1,Ground,37.67,4104.52,Business,Operational,4.1
SHP100145,Denver,Chicago,2025-08-03,2025-08-04 04:48:00,Delivered,435.8,Ground,17.71,896.89,Retail,Operational,1.2
SHP100146,Charlotte,San Diego,2025-09-24,2025-09-28 16:48:00,Delivered,2273.8,Air,25.41,8854.02,Retail,Operational,4.7
SHP100147,Charlotte,Atlanta,2025-09-12,2025-09-20 14:24:00,Delivered,3733.7,Freight,13.38,8043.51,Retail,Operational,8.6
SHP100148,San Francisco,San Diego,2024-09-03,2024-09-06 16:48:00,Delivered,2168.55,Freight,17.37,3487.47,Retail,Operational,3.7
SHP100149,Seattle,Chicago,2025-03-09,2025-03-20 04:48:00,In Transit,3845.3,Freight,14.36,8565.02,Retail,Weather,11.2
SHP100150,Los Angeles,Detroit,2024-04-02,2024-04-08 21:36:00,Delivered,3229.6,Ground,4.29,3523.59,Retail,Operational,6.9
SHP100151,Chicago,Chicago,2024-09-24,2024-09-27 02:24:00,Delivered,11.3,Ground,4.38,25.56,Retail,Operational,3.1
SHP100152,Charlotte,Philadelphia,2025-09-06,2025-09-13 04:48:00,Delayed,2971.6,Air,5.6,5245.62,Business,Operational,7.2
SHP100153,Atlanta,San Diego,2025-09-15,2025-09-18 04:48:00,Delivered,852.2,Ground,21.75,1754.38,Business,Weather,3.2
SHP100154,Charlotte,Charlotte,2024-11-16,2024-11-17 02:24:00,Delivered,9.3,Ground,41.64,39.18,Business,Operational,1.1
SHP100155,Charlotte,Baltimore,2024-03-02,2024-03-04 00:00:00,In Transit,813.7,Ground,37.58,2175.08,Business,Operational,2.0
SHP100156,Charlotte,Baltimore,2024-10-26,2024-10-31 21:36:00,Delayed,1887.8,Freight,25.59,5007.35,Business,Operational,5.9
SHP100157,Los Angeles,Philadelphia,2025-02-06,2025-02-09 16:48:00,Delivered,2636.4,Ground,11.67,4447.62,Retail,Operational,3.7
SHP100158,Los Angeles,Baltimore,2025-07-20,2025-07-20 14:24:00,Delivered,416.6,Air,8.68,861.37,Government,Operational,0.6
SHP100159,Atlanta,Detroit,2025-09-11,2025-09-13 02:24:00,Delivered,859.2,Air,19.05,2655.65,Business,Operational,2.1
SHP100160,New York,Detroit,2024-10-29,2024-10-31 07:12:00,In Transit,1577.8,Air,11.43,4227.33,Retail,Operational,2.3
SHP100161,New York,Memphis,2024-09-09,2024-09-13 07:12:00,Delivered,2188.0,Ground,5.16,2580.0,Retail,Operational,4.3
SHP100162,Los Angeles,Detroit,2025-04-22,2025-05-01 07:12:00,Delivered,3891.5,Ground,7.63,4897.81,Business,Customs,9.3
SHP100163,San Francisco,Baltimore,2025-01-03,2025-01-04 19:12:00,Delivered,1005.3,Ground,13.31,1806.82,Retail,Operational,1.8
SHP100164,Memphis,Dallas,2024-06-08,2024-06-12 02:24:00,Delivered,1694.1,Ground,40.7,4441.1,Government,Weather,4.1
SHP100165,Dallas,Miami,2024-06-14,2024-06-20 14:24:00,Delivered,2245.8,Freight,3.81,2541.42,Business,Weather,6.6
SHP100166,Phoenix,Detroit,2024-07-23,2024-07-26 04:48:00,Delivered,1471.8,Ground,6.3,1892.82,Retail,Operational,3.2
SHP100167,Charlotte,Chicago,2024-09-23,2024-09-28 14:24:00,Delivered,2890.7,Ground,14.17,4828.45,Business,Operational,5.6
SHP100168,Memphis,Detroit,2024-05-17,2024-05-19 02:24:00,Delivered,1303.4,Air,9.47,2908.14,Business,Operational,2.1
SHP100169,Atlanta,Boston,2025-01-02,2025-01-10 16:48:00,Delivered,3521.1,Freight,23.53,9905.38,Retail,Operational,8.7
SHP100170,Los Angeles,Denver,2025-03-18,2025-03-22 09:36:00,Delivered,2372.2,Ground,14.48,4423.34,Retail,Operational,4.4
SHP100171,Memphis,Los Angeles,2025-07-20,2025-07-21 14:24:00,Delivered,571.1,Air,5.07,1089.97,Retail,Operational,1.6
SHP100172,Phoenix,Miami,2024-01-17,2024-01-22 14:24:00,Delayed,2896.1,Air,11.63,7059.8,Business,Weather,5.6
SHP100173,San Diego,Charlotte,2024-03-08,2024-03-14 21:36:00,Delivered,2647.7,Freight,19.64,5863.73,Government,Operational,6.9
SHP100174,San Diego,Boston,2024-05-12,2024-05-15 02:24:00,Delivered,1656.0,Air,27.58,6078.97,Business,Operational,3.1
SHP100175,New York,New York,2025-03-05,2025-03-05 21:36:00,Delivered,18.8,Ground,6.24,39.54,Retail,Operational,0.9
SHP100176,Denver,Los Angeles,2024-11-03,2024-11-04 12:00:00,Delivered,1063.0,Air,20.57,3397.48,Business,Operational,1.5
SHP100177,Memphis,Detroit,2024-06-22,2024-06-27 16:48:00,Delivered,1944.6,Ground,13.58,4451.715,Retail,Operational,5.7
SHP100178,San Diego,San Francisco,2025-02-15,2025-02-16 19:12:00,In Transit,1059.6,Ground,37.35,3113.14,Retail,Operational,1.8
SHP100179,Chicago,Philadelphia,2024-04-06,2024-04-14 02:24:00,Delivered,2683.2,Ground,11.75,3889.63,Government,Weather,8.1
SHP100180,Dallas,Los Angeles,2024-06-02,2024-06-08 04:48:00,Delivered,3263.0,Ground,5.19,3482.0,Business,Operational,6.2
SHP100181,Chicago,Baltimore,2024-08-29,2024-09-06 12:00:00,Delivered,3880.9,Freight,10.01,7320.57,Retail,Operational,8.5
SHP100182,Seattle,Seattle,2024-10-30,2024-11-03 19:12:00,Delivered,7.5,Ground,3.07,19.56,Retail,Customs,4.8
SHP100183,Denver,Memphis,2024-10-11,2024-10-19 02:24:00,Delivered,3162.7,Freight,3.79,3939.58,Retail,Operational,8.1
SHP100184,New York,Philadelphia,2024-01-27,2024-02-01 04:48:00,Delivered,2816.3,Ground,23.67,6626.56,Retail,Operational,5.2
SHP100185,Miami,Miami,2025-02-05,2025-02-05 14:24:00,In Transit,12.5,Air,21.82,65.52,Business,Operational,0.6
SHP100186,Seattle,Los Angeles,2024-12-25,2024-12-29 09:36:00,Delivered,1322.3,Ground,24.6,2872.43,Business,Operational,4.4
SHP100187,Baltimore,Charlotte,2024-02-29,2024-03-02 12:00:00,Delivered,1344.9,Ground,10.79,1987.89,Business,Operational,2.5
SHP100188,Miami,Atlanta,2024-07-20,2024-07-22 00:00:00,Delayed,743.2,Air,7.79,1691.5,Retail,Operational,2.0
SHP100189,New York,Philadelphia,2025-08-03,2025-08-06 04:48:00,Delivered,2288.4,Air,65.01,14082.44,Retail,Operational,3.2
SHP100190,Phoenix,Chicago,2025-01-04,2025-01-06 21:36:00,Delivered,613.5,Air,18.84,1890.42,Business,Operational,2.9
SHP100191,Baltimore,Atlanta,2025-06-16,2025-06-19 07:12:00,Delivered,1361.6,Ground,7.04,1578.88,Government,Operational,3.3
SHP100192,Houston,San Diego,2024-05-31,2024-06-04 09:36:00,Delivered,2275.5,Ground,44.42,6574.67,Business,Operational,4.4
SHP100193,Chicago,Baltimore,2024-04-11,2024-04-17 21:36:00,Delivered,4317.7,Air,40.18,18973.0,Business,Operational,6.9
SHP100194,Seattle,Charlotte,2025-08-29,2025-09-07 04:48:00,Delivered,4344.4,Ground,26.42,9739.43,Business,Operational,9.2
SHP100195,San Diego,Phoenix,2025-03-21,2025-03-28 21:36:00,In Transit,3398.1,Freight,15.01,7727.72,Retail,Operational,7.9
SHP100196,San Diego,Charlotte,2024-08-16,2024-08-19 07:12:00,Delivered,1873.8,Air,8.75,4445.85,Retail,Operational,3.3
